system:index,mean,value,.geo
00000000000000000110,226.44701089105405,7141.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111,203.50493005995446,7142.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112,170.3355093597181,7143.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113,204.3472952993943,7144.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114,130.32370433305042,7145.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,113.20578852277882,7146.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116,83.10114035004433,7147.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117,144.09682735132174,7148.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118,144.60055970460587,7149.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,155.89777247741984,7150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,189.99156069777763,7151.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,202.6634694640768,7152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,188.6828192772384,7153.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,208.75199844462566,7154.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
